Table 1
ROSE Residence,,,,,,,,,,
Landscape Construction Work Outline RETAIL + VENDOR BUDGET WORKSHEET1.0 ,,,,,,,,,,
Site Plan dated 4/7/2026,,,,,,,,,,
,,,,,,,,,,
DESCRIPTION,QTY,UNIT ,RETAIL UNIT PRICE,VENDOR UNIT PRICE,PHASE 1 RETAIL,PHASE  2 RETAIL,PHASE 1 VENDOR,PHASE  2 VENDOR,PROJECT TOTAL RETAIL,PROJECT TOTAL WHOLESALE
,,,,,,,,,,
GENERAL JOB ITEMS 2.0,,,,,"$11,284.80","$7,692.75","$8,463.60","$5,769.56","$18,977.55","$14,233.16"
Crew / Machinery / Tool Trailer Mobilization / Consumables,1,ea,"$2,385.50","$1,789.13","$1,192.75","$1,192.75",$894.56,$894.56,,
Site Prep & Demo,1,ea,"$10,000.00","$7,500.00","$5,000.00","$5,000.00","$3,750.00","$3,750.00",,
Driveway Renovation Grading Preparation,1,ea,"$3,592.05","$2,694.04","$3,592.05",,"$2,694.04",,,
Tree Protection,1,ea,$500.00,$375.00,$250.00,$250.00,$187.50,$187.50,,
Final Job Detailing - ALLOWANCE,1,ea,"$2,500.00","$1,875.00","$1,250.00","$1,250.00",$937.50,$937.50,,
,,,,,,,,,,
BOULDERS 3.0,,,,,"$36,144.30","$2,875.00","$24,093.80","$2,212.50","$39,019.30","$26,306.30"
Moss Rock Boulders - Imported,24,ton,"$1,279.45",$831.64,"$30,706.80",,"$19,959.42",,,
Delivery - Moss Rock Boulders,5,ea,$512.50,$384.38,"$2,562.50",,"$1,921.88",,,
Moss Rock Boulders - Harvested On Site - ALLOWANCE,1,ea,"$5,000.00","$3,750.00","$2,500.00","$2,500.00","$1,875.00","$1,875.00",,
Machine - ALLOWANCE,1,ea,$750.00,$675.00,$375.00,$375.00,$337.50,$337.50,,
,,,,,,,,,,
FLATWORK HARDSCAPE 4.0,,,,,"$47,055.15","$5,633.86","$36,619.88","$4,225.40","$52,689.01","$40,845.28"
Strip Stone Patio Addition - West Side,313,sf,$117.22,$87.92,"$36,689.86",,"$27,517.40",,,
"Flagstone Steppers - Irregular, Dry Laid",18,sf,$75.00,$56.25,,"$1,350.00",,"$1,012.50",,
"Flagstone Spa Patio - Irregular, Dry Laid",67,sf,$75.00,$56.25,"$5,025.00",,"$3,768.75",,,
Concrete Subslab,67,sf,$24.75,$18.56,"$1,658.25",,"$1,243.69",,,
Flagstone Slab Steps,10,ea,$442.84,$332.13,"$2,657.04","$1,771.36","$3,321.30","$1,328.52",,
Renovate/Enhance Existing Pathways (hardscape areas to remain) - ALLOWANCE,1,ea,"$2,000.00","$1,500.00",,"$2,000.00",,"$1,500.00",,
Delivery - Stone,4,ea,$512.50,$384.38,"$1,025.00",$512.50,$768.75,$384.38,,
,,,,,,,,,,
GROUNDCOVERS 5.0,,,,,"$24,260.70","$30,636.95","$20,184.24","$24,693.21","$54,897.65","$44,877.44"
Amended Topsoil at Berms,70,yd,$318.05,$286.25,"$9,541.50","$12,722.00","$8,587.35","$11,449.80",,
Cobble - Tan 1-2” @ Swale (bottom),105,sf,$11.88,$9.50,,"$1,247.40",,$997.92,,
Cobble - Tan 4-8” @ Swale (sides),90,sf,$12.64,$10.11,,"$1,137.60",,$0.00,,
Gravel Mulch - Pea Gravel / Squeegee Mix,"4,600",sf,$3.55,$2.84,"$6,390.00","$9,940.00","$5,112.00","$7,952.00",,
Soil Prep - Perennial / Shrub Bed Compost,"4,530",sf,$1.68,$1.34,"$3,805.20","$3,805.20","$3,044.16","$3,044.16",,
Roadbase - Driveway Improvements,25,ton,$109.57,$87.66,"$2,739.25",,"$2,191.40",,,
Delivery - General,11,ea,$324.50,$227.15,"$1,784.75","$1,784.75","$1,249.33","$1,249.33",,
,,,,,,,,,,
IRRIGATION 6.0,,,,,"$7,500.00","$7,500.00","$6,000.00","$6,000.00","$15,000.00","$12,000.00"
